model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
mean_loqo,accuracy,0.00000000,0.00000000,0.00000000,10,5000
mean_loqo,spearman,,,,10,5000
mean_loqo,kendall,,,,10,5000
surface_ridge_loqo,accuracy,0.66750000,0.61250000,0.72333333,10,5000
surface_ridge_loqo,spearman,0.45470588,0.31587500,0.59176471,10,5000
surface_ridge_loqo,kendall,0.33500000,0.22500000,0.44666667,10,5000
metadata_ridge_loqo,accuracy,0.71833333,0.66833333,0.77083333,10,5000
metadata_ridge_loqo,spearman,0.59529412,0.47705882,0.71588235,10,5000
metadata_ridge_loqo,kendall,0.43666667,0.33666666,0.54166667,10,5000
surface_metadata_ridge_loqo,accuracy,0.71500000,0.66333333,0.76500000,10,5000
surface_metadata_ridge_loqo,spearman,0.57558824,0.44999265,0.69766176,10,5000
surface_metadata_ridge_loqo,kendall,0.43000000,0.32666667,0.53000000,10,5000
random_split_surface_ridge,accuracy,0.62166667,0.56250000,0.67583333,10,5000
random_split_surface_ridge,spearman,0.35205882,0.18764706,0.50324265,10,5000
random_split_surface_ridge,kendall,0.24333333,0.12500000,0.35166667,10,5000
odat_raw,accuracy,0.82916667,0.78750000,0.86500000,10,5000
odat_raw,spearman,0.80823529,0.73176471,0.87205882,10,5000
odat_raw,kendall,0.65833333,0.57500000,0.73000000,10,5000
odat_affine_loqo,accuracy,0.82916667,0.78333333,0.86916667,10,5000
odat_affine_loqo,spearman,0.80823529,0.72117647,0.88264706,10,5000
odat_affine_loqo,kendall,0.65833333,0.56666666,0.73833333,10,5000
odat_isotonic_loqo,accuracy,0.81916667,0.78250000,0.85166667,10,5000
odat_isotonic_loqo,spearman,0.80654640,0.74102037,0.86353108,10,5000
odat_isotonic_loqo,kendall,0.65148317,0.58124239,0.71368103,10,5000
odat_multioutput_ridge_loqo,accuracy,0.82833333,0.78414583,0.86833333,10,5000
odat_multioutput_ridge_loqo,spearman,0.80882353,0.72234559,0.88117647,10,5000
odat_multioutput_ridge_loqo,kendall,0.65666667,0.56829167,0.73666667,10,5000
